Database|Reference|Continent|Sample_ID|Sample_Type|Method|Provenance|Age_Method|Age|Discordance|Hf|Lu|Hf176_Hf177|Hf176_Hf177_2sigma|Lu176_Hf177|Lu176_Hf177_2sigma|Hf176_Hf177_initial|eHf_now|eHf_initial
UCLA|Belousova et al 2010|Australia|10906|Detrital zircon|LA-MC-ICP-MS|||1767.8081067485|1.2186328001|0.2709933278|NaN|0.281597|0.00002|0.000734258|NaN|0.2815723615|NaN|-3.038786344
UCLA|Belousova et al 2010|Australia|12565|Detrital zircon|LA-MC-ICP-MS|||630.0371407792|1.2216226187|0.0753461749|NaN|0.282267|0.000011|0.0000606281|NaN|0.2822662826|NaN|-3.9977014673
UCLA|Belousova et al 2010|Australia|12487|Detrital zircon|LA-MC-ICP-MS|||1068.7694998679|1.2218369446|1.0421031646|NaN|0.282141|0.0000058|0.000762372|NaN|0.2821256349|NaN|0.8067583055
UCLA|Belousova et al 2009|Australia|Tarcoola-36|Detrital zircon|LA-MC-ICP-MS|||1706|1.2309495897|NaN|NaN|0.28164|0.000012|0.000936478|NaN|0.2816096921|-40.4901250066|-3.1199353723
UCLA|Belousova et al 2010|Europe|1492|Detrital zircon|LA-MC-ICP-MS|||1049.6274780704|1.2323042994|0.611959883|NaN|0.282047|0.000012|0.000721773|NaN|0.2820327162|NaN|-2.9158964895
UCLA|Belousova et al 2010|Australia|12809|Detrital zircon|LA-MC-ICP-MS|||1167.8696147332|1.2327311558|0.6584660681|NaN|0.282126|0.0000089|0.0004344|NaN|0.2821164243|NaN|2.7042563991
UCLA|Belousova et al 2010|Africa|5339|Detrital zircon|LA-MC-ICP-MS|||802.6239833434|1.2340720375|0.3095841532|NaN|0.282573|0.000037|0.000648307|NaN|0.282563212|NaN|10.3609689769
UCLA|Belousova et al 2010|Asia|1771|Detrital zircon|LA-MC-ICP-MS|||74.6666317039|1.2389263586|0.5315165242|NaN|0.282413|0.0000095|0.00190659|NaN|0.2824103403|NaN|-11.153770861
UCLA|Kemp et al 2010|Australia (Jack Hills)|jh17-14.2|Detrital zircon|LA-MC-ICP-MS concurrent Pb-Hf|||4065.0681020281|1.2391345281|NaN|NaN|0.2800547405|0.0000210800681546|0.0003588118|0.0000154274670986|0.2800264485|-96.5489519395|-3.8988923608
UCLA|Belousova et al 2010|Australia|12782|Detrital zircon|LA-MC-ICP-MS|||982.2896401024|1.2392694996|0.6550078911|NaN|0.282234|0.000013|0.000405476|NaN|0.2822264952|NaN|2.4446969294
UCLA|Belousova et al 2010|Australia|12874|Detrital zircon|LA-MC-ICP-MS|||568.6410657198|1.2411566766|0.7167837049|NaN|0.282386|0.000005|0.000624027|NaN|0.2823793397|NaN|-1.35663983
UCLA|Belousova et al 2009|Australia|EGC06-55|Detrital zircon|LA-MC-ICP-MS|||1768|1.2443438914|NaN|NaN|0.281597|0.00002|0.000734258|NaN|0.2815723588|-42.010714854|-3.0194790248
