Database|Continent|Reference|Sample_ID|Age|d18O|d18O_2sigma|Lu176_Hf177|Hf176_Hf177|Hf176_Hf177_2sigma|eHf_initial|eHf_initial_2sigma|Tdm
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-01|746|7.5|0.8|0.00116|0.282428|0.000039|3.5|1.4|1244
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-02|345|6.0|0.8|0.00123|0.282924|0.000031|12.3|1.1|345
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-03|248|7.2|0.8|0.00054|0.282925|0.000030|10.4|1.1|388
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-04|3135|6.8|0.8|0.00077|0.280755|0.000050|-1.8|1.8|3513
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-05a|555|7.1|0.9|0.00036|0.282230|0.000044|-7.4|1.5|1792
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-05b|566|6.9|0.8|0.00043|0.282250|0.000031|-6.5|1.1|1741
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-06|562|11.1|0.8|0.00033|0.282143|0.000026|-10.3|0.9|1985
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-07|25|8.3|0.8|0.00301|0.282791|0.000054|0.7|1.9|844
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-08|431|8.2|0.8|0.00110|0.282399|0.000032|-4.4|1.1|1499
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-09|236|6.3|0.8|0.00064|0.282626|0.000036|-0.5|1.3|1089
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-10a|609|9.4|0.8|0.00057|0.282427|0.000041|0.7|1.5|1314
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-10b|620|9.4|0.8|0.00048|0.282446|0.000026|1.6|0.9|1262
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-11|409|9.4|0.8|0.00115|0.282407|0.000060|-4.6|2.1|1494
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-12|241|6.0|0.8|0.00128|0.282839|0.000034|7.1|1.2|602
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-13|538|7.4|0.8|0.00044|0.282483|0.000028|1.1|1.0|1228
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-14|243|6.5|0.8|0.00105|0.282807|0.000036|6.0|1.3|673
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-15|349|6.0|0.7|0.00089|0.282799|0.000037|8.1|1.3|623
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-16|489|6.0|0.6|0.00034|0.281168|0.000028|-46.5|1.0|4191
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-17|468|7.5|0.6|0.00112|0.282404|0.000044|-3.4|1.6|1466
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-18|309|4.7|0.6|0.00115|0.282672|0.000043|2.6|1.5|946
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-19a|565|9.4|0.7|0.00076|0.282343|0.000036|-3.3|1.3|1537
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-19b|173|8.6|0.6|0.00052|0.282454|0.000038|-7.9|1.3|1523
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-20a|676|7.3|0.6|0.00104|0.282456|0.000042|3.0|1.5|1218
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-20b|701|7.2|0.6|0.00031|0.282455|0.000048|3.8|1.7|1184
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-21|556|7.1|0.7|0.00011|0.282174|0.000024|-9.3|0.9|1913
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-22|320|6.0|0.6|0.00132|0.282613|0.000026|0.8|0.9|1077
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-23|247|6.1|0.6|0.00126|0.282774|0.000030|4.9|1.1|748
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-24|512|6.0|0.6|0.00004|0.282415|0.000025|-1.7|0.9|1390
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-25|527|5.7|0.6|0.00114|0.282368|0.000026|-3.4|0.9|1513
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-26|532|10.0|0.4|0.00108|0.282245|0.000038|-7.6|1.4|1789
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-27|232|7.7|0.4|0.00069|0.282758|0.000027|4.1|1.0|789
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-28|522|6.3|0.5|0.00007|0.282655|0.000022|7.0|0.8|831
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-29|576|8.6|0.5|0.00042|0.282451|0.000027|0.9|0.9|1275
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-30|1023|7.3|0.4|0.00094|0.282225|0.000032|2.5|1.1|1534
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-31|542|11.1|0.5|0.00104|0.282431|0.000025|-0.8|0.9|1357
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-32|518|6.9|0.5|0.00005|0.282430|0.000018|-1.0|0.6|1351
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-33|543|12.5|0.4|0.00003|0.282424|0.000025|-0.7|0.9|1351
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-34|563|5.1|0.4|0.00093|0.282427|0.000026|-0.4|0.9|1350
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-35|538|6.2|0.5|0.00020|0.281776|0.000029|-23.8|1.0|2821
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-36|602|9.2|0.4|0.00003|0.282259|0.000022|-5.2|0.8|1689
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-37|492|8.9|0.4|0.00004|0.282365|0.000024|-3.9|0.8|1518
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-38|556|6.0|0.5|0.00037|0.281667|0.000029|-27.3|1.0|3056
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-39|561|5.6|0.4|0.00027|0.282435|0.000043|0.0|1.5|1320
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-40|528|6.0|0.4|0.00019|0.282385|0.000033|-2.5|1.2|1453
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-41|586|7.7|0.5|0.00007|0.282355|0.000024|-2.2|0.8|1480
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-42|996|9.5|0.5|0.00112|0.282157|0.000035|-0.7|1.2|1713
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-43|2032|7.3|0.5|0.00030|0.281366|0.000030|-4.7|1.1|2802
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-44|553|8.4|0.4|0.00041|0.282459|0.000023|0.6|0.8|1272
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-45|540|8.5|0.4|0.00006|0.282203|0.000031|-8.6|1.1|1855
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-46|523|6.2|0.4|0.00080|0.282500|0.000026|1.3|0.9|1205
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-47|562|8.4|0.4|0.00026|0.282623|0.000030|6.7|1.0|884
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-48a|241|5.7|0.4|0.00158|0.282796|0.000045|5.5|1.6|704
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-48b|247|5.7|0.5|0.00108|0.282800|0.000034|5.9|1.2|685
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-49|624|8.1|0.4|0.00062|0.282394|0.000037|-0.1|1.3|1381
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-50|538|5.3|0.6|0.00004|0.282325|0.000036|-4.3|1.3|1578
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-51|497|6.5|0.5|0.00036|0.282428|0.000030|-1.7|1.1|1378
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-52|620|6.2|0.4|0.00112|0.282475|0.000042|2.4|1.5|1212
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-53|372|6.1|0.4|0.00105|0.282705|0.000036|5.2|1.3|831
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-54|576|8.6|0.5|0.00007|0.282328|0.000028|-3.3|1.0|1548
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-55|647|8.3|0.5|0.00069|0.282305|0.000029|-2.8|1.0|1572
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-56|1131|6.0|0.5|0.00059|0.282129|0.000028|1.7|1.0|1670
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-57|532|4.8|0.6|0.00001|0.282010|0.000026|-15.6|0.9|2296
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-58|543|6.8|0.4|0.00007|0.281441|0.000030|-35.5|1.1|3556
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-59|529|7.1|0.5|0.00012|0.282186|0.000029|-9.5|1.0|1904
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-60|728|8.0|0.5|0.00129|0.282234|0.000030|-3.9|1.1|1703
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-61|1511|8.7|0.4|0.00161|0.282174|0.000044|10.8|1.6|1511
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-62|731|8.4|0.5|0.00060|0.281586|0.000027|-26.4|1.0|3136
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-63|609|7.2|0.5|0.00067|0.282437|0.000040|1.0|1.4|1293
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-64|562|8.6|0.5|0.00073|0.282415|0.000027|-0.8|1.0|1375
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-65|313|5.6|0.4|0.00054|0.282708|0.000029|4.1|1.0|852
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-66|551|7.5|0.6|0.00005|0.282319|0.000026|-4.2|0.9|1585
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-01|538|8.8|0.7|0.00002|0.282335|0.000035|-3.9|1.2|1556
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-02|570|9.4|0.7|0.00065|0.282455|0.000021|0.8|0.7|1276
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-03|1033|10.7|0.5|0.00107|0.282023|0.000034|-4.6|1.2|1992
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-04|548|9.0|0.7|0.00009|0.282510|0.000030|2.5|1.0|1151
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-05|522|9.5|0.7|0.00098|0.282616|0.000025|5.3|0.9|943
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-06|545|7.1|0.8|0.00042|0.282021|0.000025|-15.0|0.9|2273
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-07a|552|12.0|0.7|0.00018|0.282009|0.000023|-15.2|0.8|2289
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-07b|532|11.0|0.6|0.00016|0.281977|0.000028|-16.8|1.0|2375
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-08|532|12.6|0.6|0.00013|0.282368|0.000019|-2.9|0.7|1486
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-09|525|10.2|0.7|0.00013|0.282429|0.000021|-0.9|0.7|1352
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-10a|1120|8.5|0.6|0.00033|0.281889|0.000035|-6.8|1.3|2207
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-10b|401|11.9|0.6|0.00177|0.282236|0.000052|-11.0|1.8|1899
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-11|548|10.4|0.5|0.00008|0.281684|0.000020|-26.8|0.7|3016
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-12|477|8.0|0.5|0.00071|0.281522|0.000020|-34.3|0.7|3431
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-13a|552|8.5|0.6|0.00060|0.282338|0.000022|-3.7|0.8|1553
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-13b|561|9.4|0.5|0.00035|0.282337|0.000022|-3.4|0.8|1543
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-13c|542|9.1|0.6|0.00046|0.282330|0.000019|-4.2|0.7|1575
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-14|556|7.5|0.6|0.00048|0.281874|0.000027|-20.0|1.0|2598
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-15|535|13.9|0.6|0.00066|0.282382|0.000021|-2.6|0.8|1465
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-16|614|8.9|0.7|0.00055|0.282474|0.000028|2.5|1.0|1202
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-17|594|8.5|0.7|0.00023|0.282394|0.000018|-0.7|0.6|1390
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-18|512|8.8|0.6|0.00001|0.282613|0.000025|5.3|0.9|935
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-19|556|8.8|0.6|0.00042|0.282033|0.000018|-14.4|0.7|2239
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-20a|556|15.5|0.7|0.00065|0.282216|0.000023|-8.0|0.8|1830
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-20b|561|15.2|0.6|0.00071|0.282224|0.000026|-7.6|0.9|1810
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-21|555|8.8|0.6|0.00029|0.282325|0.000019|-4.0|0.7|1573
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-22|531|10.8|0.6|0.00020|0.282403|0.000023|-1.7|0.8|1408
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-23|603|9.0|0.6|0.00033|0.282346|0.000020|-2.2|0.7|1498
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-24|570|6.2|0.6|0.00058|0.282487|0.000021|2.0|0.7|1200
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-25|2001|7.7|0.6|0.00041|0.281342|0.000021|-6.4|0.8|2883
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-26|356|6.4|0.6|0.00279|0.282820|0.000037|8.5|1.3|599
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-27|658|6.4|0.6|0.00059|0.282586|0.000033|7.4|1.2|918
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-28a|540|5.0|0.7|0.00011|0.282443|0.000023|-0.1|0.8|1310
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-28b|511|5.4|0.6|0.00014|0.282480|0.000025|0.6|0.9|1244
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-29|534|8.0|0.6|0.00022|0.282395|0.000021|-2.0|0.8|1426
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-30|522|6.0|0.6|0.00067|0.281951|0.000022|-18.1|0.8|2449
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-31|539|10.5|0.6|0.00013|0.282359|0.000021|-3.1|0.7|1503
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-32a|583|8.6|0.6|0.00073|0.282502|0.000025|2.7|0.9|1161
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-32b|580|8.5|0.6|0.00041|0.282469|0.000018|1.6|0.6|1231
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-33|589|10.6|0.6|0.00010|0.282376|0.000024|-1.4|0.9|1432
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-34|642|10.1|0.6|0.00017|0.282321|0.000018|-2.2|0.6|1526
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-35|538|6.0|0.5|0.00029|0.281791|0.000020|-23.3|0.7|2788
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-36|573|7.4|0.6|0.00087|0.281795|0.000037|-22.6|1.3|2773
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-37|493|8.4|0.5|0.00092|0.282135|0.000023|-12.3|0.8|2057
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-38|558|7.7|0.5|0.00017|0.282182|0.000032|-9.0|1.1|1896
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-39|529|7.6|0.6|0.00051|0.281708|0.000033|-26.5|1.2|2984
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-40|922|8.9|0.5|0.00073|0.282302|0.000021|3.1|0.7|1411
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-41|543|8.9|0.5|0.00001|0.282274|0.000016|-6.0|0.6|1691
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-42|528|7.3|0.5|0.00025|0.282039|0.000025|-14.7|0.9|2239
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-43|2159|7.3|0.5|0.00029|0.281135|0.000022|-9.9|0.8|3231
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-44a|963|6.2|0.5|0.00087|0.282305|0.000024|4.0|0.8|1384
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-44b|571|6.5|0.5|0.00012|0.282447|0.000021|0.7|0.7|1281
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-45|541|7.5|0.5|0.00015|0.282202|0.000025|-8.6|0.9|1858
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-46|511|10.8|0.6|0.00016|0.282350|0.000019|-4.1|0.7|1542
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-47|654|7.2|0.5|0.00005|0.282402|0.000020|1.0|0.7|1328
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-48|565|6.8|0.5|0.00059|0.282040|0.000024|-14.0|0.8|2222
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-49|560|9.2|0.6|0.00028|0.281806|0.000048|-22.2|1.7|2741
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-50|1089|7.8|0.5|0.00023|0.281879|0.000019|-7.8|0.7|2245
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-51|503|9.7|0.5|0.00002|0.282148|0.000017|-11.3|0.6|2002
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-52|522|6.5|0.7|0.00071|0.282062|0.000021|-14.2|0.7|2200
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-53|527|8.1|0.7|0.00015|0.281767|0.000020|-24.3|0.7|2847
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-54|557|9.0|0.7|0.00002|0.282246|0.000016|-6.7|0.6|1747
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-55|533|7.6|0.6|0.00075|0.282003|0.000023|-16.0|0.8|2327
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-56|507|7.2|0.7|0.00039|0.282043|0.000020|-15.1|0.7|2245
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-57|546|5.6|0.7|0.00146|0.281504|0.000024|-33.7|0.8|3446
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-58|524|11.8|0.7|0.00004|0.282341|0.000017|-4.0|0.6|1552
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-59|602|6.0|0.7|0.00031|0.282507|0.000020|3.5|0.7|1128
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-60|527|8.6|0.6|0.00073|0.282075|0.000017|-13.6|0.6|2168
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-61|541|5.5|0.7|0.00059|0.281649|0.000019|-28.4|0.7|3111
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-62|464|7.7|0.7|0.00103|0.282308|0.000020|-6.8|0.7|1684
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-63|1028|6.1|0.6|0.00040|0.281621|0.000038|-18.4|1.3|2868
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-64|488|8.4|0.7|0.00002|0.282223|0.000018|-9.0|0.7|1842
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-65a|321|6.2|0.7|0.00089|0.282643|0.000025|2.0|0.9|1001
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-65b|325|5.8|0.7|0.00066|0.282680|0.000032|3.4|1.1|910
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-66|569|8.8|0.7|0.00009|0.282418|0.000021|-0.3|0.7|1349
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-67|533|7.7|0.6|0.00016|0.282443|0.000019|-0.3|0.7|1315
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-68|533|5.8|0.7|0.00004|0.282323|0.000023|-4.5|0.8|1588
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-69a|511|6.8|0.6|0.00056|0.282488|0.000022|0.7|0.8|1236
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-69b|513|7.0|0.7|0.00055|0.282471|0.000023|0.1|0.8|1273
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-70|606|10.2|0.7|0.00068|0.282396|0.000035|-0.5|1.2|1391
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-71|568|7.9|0.6|0.00063|0.282449|0.000024|0.6|0.8|1291
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-72|232|7.2|0.7|0.00134|0.282492|0.000034|-5.4|1.2|1408
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-73a|575|5.5|0.6|0.00054|0.282508|0.000023|2.8|0.8|1148
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-73b|575|6.1|0.6|0.00032|0.282521|0.000025|3.3|0.9|1114
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-74|1088|6.0|0.6|0.00047|0.282278|0.000032|6.1|1.1|1350
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-75|2776|2.7|0.7|0.00073|0.280890|0.000031|-5.2|1.1|3433
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-76|303|6.5|0.7|0.00092|0.282532|0.000028|-2.4|1.0|1268
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-77a|3396|5.7|0.6|0.00135|0.280594|0.000030|-2.9|1.3|3789
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-77b|2097|5.9|0.6|0.00029|0.280813|0.000021|-22.8|0.7|3979
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-78|316|5.7|0.6|0.00094|0.282590|0.000024|0.0|0.9|1126
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-79|573|6.3|0.6|0.00081|0.282513|0.000021|2.8|0.7|1145
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-80|1010|4.6|0.6|0.00141|0.282346|0.000032|6.2|1.1|1285
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-81|537|7.6|0.7|0.00024|0.282275|0.000025|-6.1|0.9|1698
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-82a|309|6.2|0.6|0.00110|0.282693|0.000031|3.4|1.1|898
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-82b|312|6.0|0.6|0.00090|0.282705|0.000023|3.9|0.8|865
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-83a|44|4.3|0.6|0.00059|0.283030|0.000036|9.6|1.3|273
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-83b|44|4.4|0.6|0.00077|0.283023|0.000035|9.4|1.2|290
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-84|337|6.4|0.7|0.00077|0.282634|0.000020|2.0|0.7|1012
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-85|588|9.7|0.6|0.00038|0.282447|0.000029|1.0|1.0|1277
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-86|500|5.1|0.5|0.00009|0.282476|0.000026|0.2|0.9|1260
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-87|519|8.2|0.5|0.00004|0.282397|0.000025|-2.2|0.9|1427
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-88|522|6.9|0.5|0.00014|0.282354|0.000019|-3.7|0.7|1527
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-89|552|10.7|0.5|0.00020|0.282050|0.000023|-13.8|0.8|2197
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-90|521|7.6|0.5|0.00014|0.282305|0.000030|-5.4|1.1|1637
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-91|566|8.2|0.5|0.00033|0.282335|0.000028|-3.4|1.0|1544
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-92|533|8.2|0.6|0.00058|0.282472|0.000025|0.6|0.9|1260
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-93|548|9.5|0.5|0.00039|0.282367|0.000024|-2.7|0.9|1486
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-94a|551|7.3|0.5|0.00043|0.281901|0.000027|-19.1|1.0|2538
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-94b|530|7.6|0.5|0.00034|0.281858|0.000028|-21.1|1.0|2645
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-95|512|8.6|0.5|0.00025|0.282357|0.000029|-3.8|1.0|1528
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-96|525|9.5|0.5|0.00004|0.281633|0.000021|-29.1|0.7|3142
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-97|512|8.6|0.5|0.00002|0.282478|0.000021|0.6|0.8|1244
