Database|Continent|Reference|Sample_ID|Age|Lu176_Hf177|Hf176_Hf177|Hf176_Hf177_2sigma|eHf_initial|eHf_initial_2sigma|Tdm
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-48|1530|0.00049|0.281708|0.000022|-4.2|0.8|2366
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-52|2469|0.00042|0.281271|0.000016|1.8|0.6|2746
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-53|1707|0.00067|0.281547|0.000019|-6.1|0.7|2629
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-56|1714|0.00075|0.281571|0.00002|-5.2|0.7|2577
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-62|2466|0.00004|0.28118|0.00002|-0.8|0.7|2911
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-63|2462|0.00041|0.281232|0.000014|0.3|0.5|2836
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-65|2451|0.0006|0.281246|0.000013|0.2|0.5|2832
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-66|2466|0.00004|0.2812|0.000018|-0.1|0.6|2867
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-68|1604|0.00127|0.281701|0.000022|-3.6|0.8|2389
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-71|2424|0.00049|0.281245|0.000014|-0.2|0.5|2839
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-72|2249|0.00026|0.281236|0.000019|-4.2|0.7|2949
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-73|2447|0.0019|0.281369|0.000042|2.3|1.5|2695
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-74|2428|0.00002|0.281187|0.000019|-1.4|0.7|2917
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-75|2453|0.00017|0.28123|0.000019|0.4|0.7|2821
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-76|2328|0.00128|0.281326|0.000016|-0.8|0.6|2798
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-77|2430|0.00003|0.281215|0.00002|-0.4|0.7|2855
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-81|1579|0.00065|0.281921|0.000024|4.3|0.9|1865
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-85|2431|0.00036|0.281236|0.000016|-0.2|0.6|2842
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-90|2427|0.00038|0.281243|0.000018|-0.1|0.6|2831
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-1|1131|0.00046|0.282149|0.000018|2.5|0.7|1617
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-10|1205|0.00057|0.282102|0.000017|2.4|0.6|1683
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-103|1057|0.00069|0.282223|0.000018|3.3|0.7|1506
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-104|1895|0.00071|0.281568|0.000016|-1.2|0.6|2469
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-12|1696|0.00053|0.281571|0.000015|-5.3|0.5|2573
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-13|896|0.00063|0.28214|0.000022|-3.1|0.8|1792
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-14|1125|0.0004|0.282011|0.000018|-2.5|0.6|1932
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-15|1836|0.00157|0.281588|0.000014|-2.8|0.5|2528
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-17|1751|0.00206|0.281649|0.000022|-3.1|0.8|2477
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-18|1144|0.00059|0.282074|0.000022|0.1|0.8|1786
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-2|2956|0.00062|0.281014|0.000018|3.6|0.7|3033
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-20|1107|0.00065|0.282164|0.00002|2.4|0.7|1607
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-21|1738|0.00159|0.281544|0.00002|-6.6|0.7|2684
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-25|1117|0.00069|0.282123|0.000018|1.1|0.7|1696
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-28|1146|0.00045|0.28214|0.000015|2.5|0.5|1628
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-29|1306|0.0004|0.281796|0.000026|-6|0.9|2304
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-3|1113|0.00044|0.28211|0.000022|0.8|0.8|1716
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-32|555|0.00015|0.281688|0.000019|-26.5|0.7|3005
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-33|1475|0.00154|0.282115|0.00002|8|0.7|1545
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-35|1678|0.00103|0.281648|0.000028|-3.6|1|2446
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-39|2245|0.00051|0.281281|0.000024|-3.1|0.9|2874
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-41|1819|0.00066|0.281569|0.000016|-2.8|0.6|2510
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-42|1711|0.00175|0.281686|0.00003|-2.3|1.1|2394
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-45|1073|0.00047|0.282094|0.000018|-0.7|0.6|1779
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-48|1699|0.00063|0.281551|0.000026|-6.1|0.9|2622
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-5|1755|0.00065|0.281518|0.000012|-6|0.4|2663
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-54|1709|0.0009|0.28161|0.000022|-4.1|0.8|2504
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|LT1-60|1684|0.00075|0.281681|0.000014|-1.9|0.5|2349
