Database|Continent|Reference|Sample_ID|Age|Lu176_Hf177|Hf176_Hf177|Hf176_Hf177_2sigma|eHf_initial|eHf_initial_2sigma|Tdm
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-17|730|0.00032|0.282045|0.000014|-10|0.5|2100
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-18|475|0.0005|0.282441|0.000017|-1.7|0.6|1364
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-19|771|0.00248|0.282083|0.000018|-8.9|0.6|2059
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-20|639|0.0004|0.282462|0.000015|2.7|0.5|1210
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-21|547|0.00226|0.28241|0.000016|-1.9|0.6|1431
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-23|1069|0.0007|0.282154|0.000016|1.1|0.6|1656
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-25|1328|0.00041|0.282031|0.000015|2.8|0.5|1758
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-27|543|0.00097|0.281833|0.000013|-21.9|0.5|2708
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-29|1338|0.00063|0.282157|0.000018|7.3|0.6|1478
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-30|828|0.00185|0.282429|0.000021|4.9|0.8|1218
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-31|587|0.0005|0.28243|0.000018|0.3|0.6|1319
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-32|636|0.003|0.282403|0.000031|-0.6|1.1|1419
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-34|1338|0.001|0.282101|0.00002|5|0.7|1626
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-35|581|0.00088|0.282427|0.000016|0|0.6|1339
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-36|879|0.00301|0.282301|0.00004|0.8|1.5|1526
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-37|556|0.00097|0.282577|0.000017|4.7|0.6|1012
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-39|235|0.00165|0.282585|0.000016|-2.1|0.6|1195
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-40|550|0.00025|0.282392|0.000013|-1.7|0.5|1423
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-41|972|0.00194|0.282421|0.000025|7.6|0.9|1157
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-44|1383|0.00076|0.281903|0.000029|-0.8|1|2035
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-45|538|0.00111|0.281973|0.000043|-17.1|1.5|2400
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-46|1199|0.00063|0.28199|0.000017|-1.7|0.6|1945
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-47|923|0.00103|0.282276|0.000017|2|0.6|1481
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-48|601|0.00039|0.281894|0.000021|-18.3|0.8|2522
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-49|592|0.00006|0.282361|0.000014|-1.8|0.5|1463
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-50|583|0.00264|0.282308|0.000023|-4.9|0.8|1654
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-51|1435|0.0011|0.281707|0.00002|-6.9|0.7|2465
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-52|362|0.00065|0.282373|0.000024|-6.7|0.8|1592
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-53|1035|0.00092|0.282273|0.000021|4.5|0.7|1415
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-54|388|0.00162|0.282294|0.000032|-9.1|1.1|1772
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-56|236|0.00079|0.282512|0.000021|-4.5|0.7|1353
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-57|956|0.00053|0.281525|0.000018|-23.5|0.6|3131
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-58|2203|0.00056|0.281185|0.00002|-7.6|0.7|3118
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-59|646|0.00003|0.282411|0.000015|1.2|0.5|1312
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR01-60|749|0.00073|0.282257|0.00002|-2.3|0.7|1620
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-01|1049|0.00089|0.282094|0.000014|-1.6|0.5|1813
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-02|3476|0.00067|0.280507|0.000015|-2.5|0.5|3831
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-03|561|0.00026|0.281862|0.000016|-20.3|0.6|2616
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-04|1167|0.0008|0.282051|0.000013|-0.4|0.5|1834
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-05|453|0.00027|0.282312|0.000013|-6.7|0.5|1668
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-06|275|0.00068|0.28276|0.000013|5.1|0.5|757
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-07|536|0.00088|0.282501|0.000016|1.6|0.6|1197
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-08|618|0.00004|0.282406|0.000013|0.4|0.5|1342
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-09|260|0.00093|0.282995|0.000014|13.1|0.5|260
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-10|904|0.00021|0.282228|0.000013|0.4|0.5|1571
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-11|571|0.00074|0.282244|0.000013|-6.7|0.5|1759
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-13|1103|0.00066|0.282102|0.000014|0.1|0.5|1751
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-14|1340|0.00077|0.281952|0.000018|0|0.6|1951
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-15|234|0.00107|0.282869|0.000016|8|0.6|533
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-16|677|0.00117|0.282349|0.000012|-0.8|0.4|1468
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-17|1436|0.00095|0.281499|0.000018|-14.1|0.6|2920
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-18|526|0.00099|0.281838|0.000015|-22.1|0.5|2707
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-20|333|0.00121|0.282663|0.00002|2.8|0.7|953
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-21|954|0.00087|0.282324|0.000017|4.5|0.6|1346
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-22|588|0.00104|0.282439|0.000017|0.5|0.6|1311
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-23|2079|0.00096|0.281317|0.000018|-6.3|0.6|2938
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-24|1492|0.00064|0.282031|0.000014|6.3|0.5|1669
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-25|1295|0.0007|0.282077|0.000015|3.4|0.5|1691
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-26|688|0.00065|0.282431|0.000015|2.5|0.5|1258
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-27|680|0.00047|0.282319|0.000013|-1.5|0.5|1514
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-28|594|0.00086|0.282311|0.000013|-3.9|0.5|1596
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-29|689|0.0004|0.282533|0.000011|6.3|0.4|1015
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-30|229|0.00131|0.282609|0.000014|-1.3|0.5|1140
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-31|159|0.00276|0.282498|0.000016|-6.9|0.6|1446
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-32|621|0.00109|0.282292|0.000016|-4|0.6|1629
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-33|1176|0.00051|0.282143|0.000013|3.3|0.5|1605
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-34|339|0.00794|0.282308|0.000029|-11.1|1|1859
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-35|1324|0.00081|0.282123|0.000013|5.6|0.5|1574
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-36|538|0.00049|0.282437|0.000015|-0.5|0.5|1333
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-37|1267|0.00103|0.281931|0.000014|-2.6|0.5|2057
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-38|544|0.00262|0.282469|0.000017|0|0.6|1306
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-39|1060|0.00081|0.282351|0.000015|7.8|0.5|1216
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-40|546|0.00045|0.282489|0.000015|1.5|0.5|1208
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-42|1176|0.00096|0.281956|0.000015|-3.7|0.5|2052
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-43|949|0.00113|0.282079|0.000017|-4.5|0.6|1918
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-45|1202|0.00017|0.281779|0.000014|-8.8|0.5|2395
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-47|1734|0.00308|0.281903|0.000021|4.3|0.7|1990
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-48|1058|0.00069|0.282052|0.000014|-2.7|0.5|1894
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-49|1971|0.00169|0.281492|0.000013|-3.4|0.5|2674
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-50|244|0.00199|0.282948|0.000017|10.9|0.6|353
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-51|1787|0.0016|0.281481|0.000017|-7.8|0.6|2798
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-52|611|0.0007|0.282619|0.000011|7.5|0.4|874
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-54|597|0.00011|0.281907|0.000014|-17.8|0.5|2489
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-55|580|0.00014|0.282288|0.000014|-4.7|0.5|1639
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-56|1624|0.00078|0.281729|0.000014|-1.6|0.5|2280
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-57|2578|0.0008|0.281181|0.000015|0.5|0.5|2919
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-59|252|0.00056|0.282563|0.000016|-2.3|0.6|1224
Dhuime et al., 2012 Science|Eurasia|Li et al. 2010, EPSL 297|SR05-60|1593|0.00224|0.281994|0.000016|5.5|0.6|1799
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn001  |836|0.00141|0.282424|0.000046|5.2|1.6|1209
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn003  |1043|0.00053|0.282338|0.000056|7.2|2|1244
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn005  |1895|0.0002|0.281496|0.000057|-3.1|2|2589
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn007  |236|0.00068|0.28296|0.000055|11.3|1.9|316
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn018  |1896|0.00062|0.281498|0.000055|-3.5|2|2618
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn021  |244|0.00065|0.282689|0.000053|1.9|1.9|940
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn025  |106|0.00097|0.282309|0.000053|-14.6|1.9|1896
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn028  |1939|0.00007|0.281201|0.000057|-12.4|2|3207
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn036  |764|0.00068|0.282526|0.000055|7.6|1.9|993
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn041  |240|0.00063|0.282524|0.000055|-4|1.9|1322
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn046  |217|0.0004|0.282643|0.000056|-0.3|2|1061
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn050  |819|0.00104|0.282562|0.000056|9.9|2|888
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn051  |799|0.00213|0.282355|0.000052|1.5|1.8|1414
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn052  |768|0.00065|0.282602|0.000044|10.4|1.6|814
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn053  |139|0.00101|0.282399|0.00005|-10.7|1.8|1672
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn054  |1956|0.00046|0.28126|0.000042|-10.4|1.5|3098
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn055  |136|0.00124|0.2825|0.000044|-7.2|1.6|1444
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn056  |158|0.00067|0.28239|0.000052|-10.5|1.8|1679
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn057  |2473|0.00085|0.281263|0.000036|0.9|1.3|2807
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn058  |97|0.00123|0.282349|0.000051|-13.3|1.8|1811
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn059  |825|0.00254|0.282458|0.000056|5.5|2|1178
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn060  |207|0.00044|0.282537|0.000054|-4.2|1.9|1311
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn062  |138|0.00066|0.282543|0.000053|-5.6|1.9|1341
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn063  |91|0.00108|0.282664|0.000044|-2.3|1.6|1094
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn064  |217|0.00036|0.282631|0.00004|-0.7|1.4|1088
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn066  |453|0.00056|0.282378|0.000045|-4.5|1.6|1523
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn067  |2614|0.00054|0.281377|0.000047|8.7|1.7|2614
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn068  |125|0.00125|0.282521|0.000037|-6.7|1.3|1403
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn070  |765|0.00059|0.282359|0.000045|1.7|1.6|1373
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn071  |210|0.0006|0.282561|0.000046|-3.3|1.6|1255
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn073  |1971|0.00056|0.281188|0.000054|-12.7|1.9|3256
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn074  |1053|0.00004|0.282065|0.000041|-1.9|1.5|1839
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn075  |762|0.00057|0.282441|0.000039|4.6|1.4|1186
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn076  |307|0.00128|0.28252|0.000055|-2.8|1.9|1298
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn077  |190|0.00052|0.282515|0.00005|-5.4|1.8|1372
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn078  |418|0.0008|0.282389|0.000049|-4.9|1.7|1524
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn079  |223|0.00103|0.282441|0.000039|-7.4|1.4|1526
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn080  |73|0.00174|0.28263|0.000044|-3.9|1.6|1185
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn081  |794|0.00046|0.282478|0.000039|6.7|1.4|1077
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn083  |244|0.00154|0.282374|0.000056|-9.4|2|1672
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn084  |223|0.00077|0.282636|0.000045|-0.4|1.6|1076
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn085  |117|0.00046|0.281809|0.000041|-32|1.5|3009
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn086  |125|0.00129|0.282576|0.000041|-4.7|1.5|1277
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn087  |672|0.00141|0.282253|0.000047|-4.4|1.7|1696
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn088  |838|0.00056|0.2824|0.000039|4.8|1.4|1232
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn090  |452|0.0011|0.282579|0.000056|2.5|2|1073
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn091  |435|0.00048|0.282362|0.000042|-5.4|1.5|1569
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn092  |2521|0.00067|0.2812|0.000054|0.1|1.9|2898
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn093  |494|0.00105|0.282353|0.00005|-4.6|1.8|1565
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn094  |1904|0.00099|0.281494|0.000048|-3.9|1.7|2652
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn095  |216|0.00085|0.282434|0.000043|-7.7|1.5|1545
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn096  |1946|0.0005|0.281671|0.000051|3.9|1.8|2188
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn097  |216|0.00203|0.282585|0.000041|-2.6|1.5|1210
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn098  |130|0.00032|0.281906|0.000039|-28.2|1.4|2784
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn099  |589|0.00067|0.282108|0.000046|-11.1|1.6|2055
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn100  |140|0.00097|0.281915|0.000051|-27.8|1.8|2762
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn101  |229|0.00127|0.282403|0.000041|-8.6|1.5|1611
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn102  |222|0.00077|0.282438|0.000048|-7.5|1.7|1531
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn103  |181|0.0006|0.282247|0.000046|-15.1|1.6|1989
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn104  |830|0.00072|0.282026|0.000041|-8.7|1.5|2094
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn105  |229|0.00054|0.282587|0.000043|-2|1.5|1183
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn106  |860|0.00082|0.282413|0.00004|5.6|1.4|1198
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn107  |2229|0.00067|0.281143|0.000039|-8.6|1.4|3206
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn108  |208|0.00056|0.282675|0.000045|0.7|1.6|994
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn109  |138|0.00089|0.282293|0.000055|-14.4|1.9|1912
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn110  |225|0.00064|0.282477|0.000047|-6|1.7|1439
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn111  |1678|0.00074|0.281528|0.000045|-7.5|1.6|2695
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn113  |222|0.00078|0.282434|0.000045|-7.6|1.6|1540
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn114  |404|0.00048|0.282224|0.000041|-11|1.5|1902
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn115  |1883|0.00067|0.281571|0.000037|-1.3|1.3|2466
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn116  |808|0.00067|0.282434|0.000045|5.3|1.6|1177
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn117  |788|0.002|0.28236|0.000054|1.5|1.9|1404
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn118  |1612|0.0004|0.281591|0.000042|-6.4|1.5|2571
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn119  |218|0.00149|0.282746|0.000054|3.3|1.9|832
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn120|244|0.00082|0.282724|0.00004|3.1|1.4|861
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn121  |663|0.00199|0.282115|0.000048|-9.8|1.7|2031
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn122  |391|0.00063|0.282067|0.000046|-16.9|1.6|2267
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn123  |842|0.00258|0.282418|0.000049|4.4|1.7|1262
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn124  |827|0.00062|0.281781|0.000043|-17.4|1.5|2643
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn125  |198|0.00208|0.28262|0.000045|-1.7|1.6|1140
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn126  |219|0.0007|0.282596|0.000045|-1.9|1.6|1170
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn129  |219|0.00075|0.282654|0.000051|0.1|1.8|1037
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn130  |815|0.00126|0.281888|0.00005|-14.2|1.8|2433
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn131  |2542|0.00057|0.281319|0.000056|5|2|2609
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn132  |214|0.00052|0.282592|0.000046|-2.1|1.6|1181
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn133  |214|0.00024|0.282699|0.000044|1.7|1.6|932
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn134  |791|0.00252|0.282242|0.000055|-2.9|1.9|1689
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn135  |825|0.00085|0.282029|0.000044|-8.8|1.6|2095
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn136  |212|0.00101|0.282723|0.000039|2.4|1.4|885
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn137  |442|0.00051|0.282456|0.000046|-1.9|1.6|1350
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn138  |2619|0.0007|0.280987|0.000046|-5.3|1.6|3313
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn139  |105|0.00079|0.282341|0.000048|-13.4|1.7|1823
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn140  |490|0.00128|0.282559|0.000056|2.5|2|1100
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn141  |206|0.00038|0.282581|0.000041|-2.7|1.5|1210
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn142  |472|0.00128|0.282336|0.000051|-5.8|1.8|1621
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn143  |175|0.00127|0.282381|0.000047|-10.5|1.7|1693
Dhuime et al., 2012 Science|Eurasia|Lizuka et al. 2010, GCA 74|YZ1_zrn144  |276|0.00186|0.282718|0.000054|3.4|1.9|868
