Locality	Unit 	Sample_ID	Age	Reference	d18O	Reference	SiO2	Reference	Lithology	
Superior Province Volcanics	Sturgeon Lake cycle 3 	JH 82-2 	2735	5	5.33	5	71.9	4	Lyon Lake rhyolite (3)	
Superior Province Volcanics	Sturgeon Lake cycle 1 	PN 76-15 	2734	5	5.48	5	78.4	4	Mattabi rhyolite (3)	
Superior Province Volcanics	Sturgeon Lake cycle 3 	PN 76-14 	2736	5	5.51	5	77.1	4	Lyon Lake rhyolite (3)	
Superior Province Volcanics	Sturgeon lake cycle 4 	PN 76-13 	2717	5	5.87	5	72.9	4	Felsic pyroclastic (3)	
Superior Province Volcanics	Mulcahy 	DD86-17 	2700	4	5.22	82			Rhyodacite	
Superior Province Volcanics	Chuck Lake 	DD83-2 	2700	4	5.73	82			Felsic volcanic	
Superior Province Volcanics	Esox Lake 	DD83-5 	2700	4	5.7	82			Porphyry	
Superior Province Volcanics	93 50 30 W 49 11 00 N 	DD96-1 	2700	4	5.77	82			Lower Kakagi tuff	
Superior Province Volcanics	GECO 	G90-4 	2700	4	5.03	82			Rhyolite	
Superior Province Volcanics	Winston Lake 	Winston Lake 	2700	4	2.86	82			Rhyolite	
Superior Province Volcanics	Separation Lake 	DD95-20 	2700	4	6.8	82			Porphyry	
Superior Province Volcanics	Berry Creek complex 	DD78-28 	2700	4	5.47	82			Quartz porphyry	
Superior Province Volcanics	Handy Lake volcanics 	DD78-32 	2700	4	6.18	82			Dacitic crystal tuff	
Superior Province Volcanics	central volcanic belt 	DD78-35 	2700	4	5.42	82			Qtz porphyritic tuffaceous unit	
Superior Province Volcanics	Contact Bay - Wabigoon Lake 	DD78-43 	2700	4	4.86	82			Rhyolite	
Superior Province Volcanics	Keewatin volcanics 	DD81-13 	2700	4	5.08	82			Qtz porphyritic rhyolite	
Superior Province Volcanics	Oxford lake group 	DD82-1 	2700	4	6.07	82			High-K porphyritic dacite	
Superior Province Volcanics	north of Sturgeon Lake 	DD84-2 	2700	4	5.93	82			Qtz lapilli tuff	
Superior Province Volcanics	lower cycle in Lumby Lake 	DD84-8 	2700	4	5.49	82			Sheared-qtz-phyric ryolite	
Superior Province Volcanics	lower cycle in Lumby Lake 	DD84-9 	2700	4	5.18	82			Blue qtz-phyric dacite	
Superior Province Volcanics	Big Cameron Island 	DD85-9 	2700	4	6.51	82			Shoal Lake dacite fragments 	
Superior Province Volcanics	Commissioner's Bay area 	DD86-6 	2700	4	6.68	82			Highly strained felsic volcanic	
Superior Province Volcanics	Calm Lake 	DD86-7 	2700	4	5.5	82			Qtz-feldspar phyric clast	
Superior Province Volcanics	Zigzag Island group 	DD90-42 	2700	4	6.1	82			Qtz phyric debris flow	
Superior Province Volcanics	Handy Lake 	DD90-60 	2700	4	6.4	82			Qtz-feldspar porphyry	
Superior Province Volcanics	Gen. L. 	DD93-11 	2700	4	5.1	82			Volcanic breccia	
Superior Province Volcanics	Power Bay - McInnis Lake 	# 52 	2700	4	5.64	82			Qtz. Feldspar phyric crystal tuff	
Superior Province Volcanics	McInnis Lake 	# 60 	2700	4	5.69	82			Qtz-feldspar phyric felsic tuff	
