Database|Reference|Sample_ID|Comments|Age|d18O|d18O_2sigma
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1766-80|D|2359.0|7.53|0.16
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1765-30|D|2365.0|5.95|0.20
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1764-66|D|2367.0|6.32|0.19
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1762-91|D|2370.0|8.48|0.30
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1762-64|D|2375.0|9.80|0.19
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1766-33|D|2381.0|6.74|0.15
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1766-117|D|2381.0|7.06|0.16
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1766-20|D|2386.0|6.41|0.15
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1765-35|D|2386.0|5.90|0.18
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1765-11|D|2391.0|5.24|0.14
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1765-6|D|2396.0|5.14|0.16
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1765-9|D|2398.0|4.87|0.13
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1766-73|D|2404.0|5.92|0.16
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1766-84|D|2408.0|6.15|0.14
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1762-32|D|2410.0|10.91|0.19
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1763-44|D|2411.0|3.16|0.28
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1762-47|D|2427.0|7.63|0.24
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1762-15|D|2434.0|9.32|0.15
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1762-33|D|2438.0|6.08|0.19
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1765-5|D|2441.0|5.99|0.14
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1766-69|D|2442.0|6.16|0.16
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1765-28|D|2444.0|5.19|0.21
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1762-88|D|2444.0|9.19|0.18
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1763-52|D|2451.0|6.45|0.25
Payne et al., 2016 LITHOS|Partin et al. (2014)|S1766-119|D|2451.0|7.26|0.16
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _63|D|2687.0|4.50|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _74|D|2812.0|5.40|0.70
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _75|D|2817.0|4.90|0.70
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _79|D|2819.0|5.10|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _32|D|2820.0|5.90|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _33|D|2820.0|5.40|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _61|D|2822.0|5.90|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _23|D|2822.0|5.70|0.40
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _22|D|2822.0|5.50|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _11|D|2822.0|6.40|0.40
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _1|D|2823.0|6.40|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _52|D|2823.0|5.90|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _77|D|2824.0|5.80|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _53|D|2826.0|5.60|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _39|D|2828.0|5.20|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _49|D|2828.0|5.40|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _80|D|2832.0|5.60|0.70
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _41|D|2832.0|5.80|0.70
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _38|D|2834.0|5.40|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _27|D|2835.0|4.50|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _47|D|2841.0|5.90|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _36|D|2841.0|5.70|0.40
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _68|D|2841.0|6.10|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _44|D|2846.0|5.30|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _25|D|2847.0|5.50|0.40
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _59|D|2852.0|6.70|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _13|D|2869.0|7.70|0.70
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _31|D|2875.0|7.90|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _15|D|2877.0|6.40|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _12|D|2879.0|5.40|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _25|D|2892.0|5.90|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _49|D|2897.0|5.10|0.70
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _7|D|2903.0|7.10|0.70
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _9|D|2918.0|6.00|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _21|D|2931.0|5.00|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _4|D|2935.0|6.70|0.40
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _30|D|2935.0|5.80|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _1|D|2936.0|6.30|0.40
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _35|D|2937.0|4.10|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _23|D|2939.0|6.10|0.30
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _55|D|2943.0|5.80|0.70
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Point _45|D|2948.0|4.50|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _29|D|2952.0|5.00|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _19|D|2953.0|6.30|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _57|D|2953.0|6.10|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _38|D|2954.0|6.00|0.40
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _69|D|2954.0|7.20|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _24|D|2959.0|6.30|0.40
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _56|D|2964.0|6.10|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _22|D|2965.0|6.00|0.30
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _57|D|3044.0|6.20|0.40
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _20|D|3106.0|5.30|0.30
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _79|D|3106.0|6.00|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _66|D|3114.0|7.40|0.40
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _9|D|3126.0|5.60|0.30
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _31|D|3139.0|4.30|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Point _56|D|3139.0|5.50|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _70|D|3143.0|4.50|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _46|D|3144.0|5.70|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _1|D|3145.0|6.80|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _28|D|3146.0|6.40|0.40
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _64|D|3147.0|6.40|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Patterson _10|D|3147.0|4.90|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _7|D|3147.0|5.20|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _2|D|3148.0|6.00|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _47|D|3149.0|4.90|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Point _1|D|3149.0|5.30|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _22|D|3150.0|5.70|0.40
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Point _9|D|3150.0|4.70|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _11|D|3151.0|5.50|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _64|D|3152.0|5.70|0.40
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Point _35|D|3152.0|4.70|0.40
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _56|D|3154.0|5.80|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _37|D|3155.0|4.50|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _14|D|3157.0|5.80|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _35|D|3158.0|5.00|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _59|D|3158.0|6.00|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _30|D|3161.0|5.20|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Point _75|D|3161.0|4.70|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _43|D|3162.0|5.80|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _51|D|3162.0|5.80|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Point _36|D|3162.0|4.90|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _3|D|3163.0|6.80|0.40
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _13|D|3164.0|6.00|0.40
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _24|D|3164.0|5.20|0.40
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _28|D|3164.0|5.40|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _50|D|3166.0|5.40|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _19|D|3167.0|5.50|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _4|D|3167.0|6.90|0.40
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _25|D|3169.0|5.60|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _57|D|3169.0|5.60|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _58|D|3170.0|5.50|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Point _15|D|3172.0|3.90|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _55|D|3178.0|6.60|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _1|D|3180.0|5.40|0.30
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _35|D|3188.0|5.90|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Point _41|D|3207.0|5.50|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _50|D|3227.0|6.80|0.80
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _15|D|3242.0|5.30|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _40|D|3248.0|5.40|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _34|D|3250.0|5.30|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _10|D|3251.0|6.00|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _41|D|3251.0|7.90|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _65|D|3258.0|6.10|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Loop _38|D|3259.0|5.10|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _43|D|3291.0|6.40|0.70
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _36|D|3311.0|6.90|0.70
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _27|D|3331.0|6.80|0.20
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _26|D|3332.0|6.00|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _60|D|3351.0|5.90|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _37|D|3364.0|6.90|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _44|D|3375.0|6.60|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _23|D|3376.0|7.00|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _20|D|3380.0|6.20|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _29|D|3389.0|6.50|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _27|D|3394.0|5.80|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _41|D|3397.0|6.30|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _2|D|3399.0|6.80|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _48|D|3400.0|5.80|0.70
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _33|D|3404.0|7.20|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _22|D|3404.0|6.60|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _30|D|3405.0|6.60|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _21|D|3410.0|6.10|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _53|D|3410.0|7.10|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _10|D|3412.0|6.20|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _9|D|3415.0|6.10|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _49|D|3418.0|6.20|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _15|D|3447.0|6.20|0.30
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _4|D|3458.0|5.70|0.70
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _29|D|3484.0|5.50|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _6|D|3536.0|6.50|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _18|D|3560.0|6.30|0.30
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _74|D|3579.0|6.70|0.50
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _57|D|3753.0|5.50|0.70
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Exmouth _60|D|3775.0|5.70|0.60
Payne et al., 2016 LITHOS|Pietranik et al. (2008)|Dwyer _65|D|3918.0|6.50|0.50
Payne et al., 2016 LITHOS|Qin et al. (2014)|10QL151|Iav|470.0|9.18|0.25
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-43|D|512.0|9.20|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-34|D|520.0|10.60|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-35|D|523.0|9.30|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-31|D|530.0|10.00|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-10|D|534.0|8.90|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-20|D|539.0|7.70|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-18|D|544.0|8.60|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-68|D|544.0|10.10|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-36|D|551.0|9.20|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-1|D|570.0|9.00|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-17|D|580.0|8.80|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-51|D|595.0|7.60|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-28|D|609.0|7.30|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-9|D|615.0|6.80|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-50|D|629.0|7.00|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-24|D|632.0|6.90|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-42|D|640.0|7.20|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-61|D|642.0|8.00|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-41|D|650.0|8.20|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-7|D|661.0|4.10|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-60|D|675.0|4.70|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-20.1|D|716.0|7.50|0.60
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-47|D|735.0|7.30|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-30.1|D|741.0|6.00|0.60
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-48.1|D|744.0|9.10|0.60
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-61.1|D|753.0|7.00|0.60
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-42.1|D|755.0|8.10|0.60
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-41.1|D|759.0|9.10|0.60
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-28.1|D|760.0|9.50|0.70
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-35.1|D|762.0|7.50|0.70
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-34.1|D|763.0|6.90|0.60
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-49.1|D|766.0|7.60|0.70
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-26|D|767.0|7.90|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-63|D|768.0|8.90|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-33|D|777.0|8.90|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-30|D|777.0|8.60|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-22|D|779.0|5.00|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-18|D|787.0|7.70|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-69.1|D|793.0|7.60|0.70
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-58|D|796.0|8.30|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-11.1|D|797.0|7.40|0.60
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-24|D|806.0|8.30|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-57|D|818.0|8.20|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-58.1|D|830.0|8.20|1.00
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-22.1|D|832.0|7.90|0.70
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-54.1|D|836.0|5.40|0.60
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-10.1|D|910.0|8.40|0.60
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-66|D|937.0|10.00|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-64|D|986.0|5.10|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-45.1|D|999.0|7.90|0.70
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-26|D|1018.0|6.80|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-39|D|1030.0|4.30|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-15|D|1032.0|8.80|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-4|D|1037.0|6.80|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-67|D|1087.0|5.50|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-21|D|1096.0|4.10|0.40
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-47|D|1100.0|10.30|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-13|D|1135.0|8.20|0.40
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-5|D|1139.0|7.10|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-44|D|1151.0|7.50|0.40
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-60|D|1183.0|6.30|0.40
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-23|D|1197.0|9.50|0.40
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-56|D|1204.0|7.00|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-36|D|1223.0|7.10|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-50|D|1244.0|8.00|0.40
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-1|D|1248.0|6.60|0.40
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-45|D|1252.0|5.30|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-37|D|1254.0|5.40|0.40
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-54|D|1284.0|5.50|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-37|D|1333.0|7.10|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-19|D|1385.0|5.90|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-67|D|1415.0|4.80|0.40
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-12|D|1453.0|7.10|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-18|D|1458.0|5.50|0.40
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-2|D|1513.0|6.00|0.40
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-27|D|1530.0|5.10|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG_P-3|D|1537.0|4.00|0.40
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-50|D|1851.0|7.60|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-60|D|1989.0|6.90|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-43|D|2032.0|8.40|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-54|D|2043.0|6.10|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-38|D|2073.0|6.80|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-66|D|2077.0|8.00|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-45|D|2144.0|10.10|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-13|D|2148.0|5.60|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-44|D|2153.0|6.40|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-56|D|2155.0|5.90|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-42|D|2156.0|5.60|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-22|D|2163.0|7.80|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-55|D|2171.0|7.50|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-441_41-35|D|2202.0|5.40|0.30
Payne et al., 2016 LITHOS|Rapela et al. (2011)|PMOG-233_33-70|D|2203.0|3.80|0.30
Payne et al., 2016 LITHOS|Steinitz et al. (2009)|Yehoshafat-35|I|605.0|6.52|
Payne et al., 2016 LITHOS|Steinitz et al. (2009)|Yehoshafat-36|I|605.0|6.76|
Payne et al., 2016 LITHOS|Steinitz et al. (2009)|Yehoshafat-81|I|605.0|6.60|0.04
Payne et al., 2016 LITHOS|Steinitz et al. (2009)|Timna-69|I|610.0|6.27|0.11
Payne et al., 2016 LITHOS|Steinitz et al. (2009)|Timna-70|I|610.0|6.11|0.03
Payne et al., 2016 LITHOS|Steinitz et al. (2009)|Timna-71|I|610.0|6.10|0.05
Payne et al., 2016 LITHOS|Steinitz et al. (2009)|Timna-44|I|610.0|5.93|
Payne et al., 2016 LITHOS|Steinitz et al. (2009)|Timna-64|I|610.0|5.68|0.00
Payne et al., 2016 LITHOS|Steinitz et al. (2009)|Timna-66|I|610.0|5.60|
Payne et al., 2016 LITHOS|Steinitz et al. (2009)|Timna-77|I|610.0|5.89|0.01
Payne et al., 2016 LITHOS|Steinitz et al. (2009)|Timna-40|I|610.0|5.75|
Payne et al., 2016 LITHOS|Steinitz et al. (2009)|Timna-62|I|610.0|5.82|0.04
Payne et al., 2016 LITHOS|Steinitz et al. (2009)|Timna-63|I|610.0|5.52|0.03
Payne et al., 2016 LITHOS|Steinitz et al. (2009)|Timna-67|I|610.0|5.48|
Payne et al., 2016 LITHOS|Strickland et al. (2011)|06-15|Iav|28.2|5.74|0.38
Payne et al., 2016 LITHOS|Strickland et al. (2011)|05-20|Iav|28.7|5.55|0.36
Payne et al., 2016 LITHOS|Strickland et al. (2011)|05-28|Iav|28.9|5.30|0.28
Payne et al., 2016 LITHOS|Strickland et al. (2011)|05-41|Iav|30.4|5.30|0.21
