Time,Coverage,CoverageSmoothed,Volume,VolumeSmoothed
3225.5,0.022128556375132,0.022134188192525,3044.64819335938,3051.1220703125
3226.5,0.022128556375132,0.022132756826881,3044.64819335938,3049.7612304688
3227.5,0.022128556375132,0.022131658674643,3044.64819335938,3048.3542480469
3228.5,0.022128556375132,0.022130824548815,3044.64819335938,3046.9060058594
3229.5,0.022128556375132,0.022130197274303,3044.64819335938,3045.4182128906
3230.5,0.022128556375132,0.022129730248615,3044.64819335938,3043.8942871094
3231.5,0.022128556375132,0.022129385993063,3044.64819335938,3042.3366699219
3232.5,0.022128556375132,0.022129134759192,3044.64819335938,3040.7475585938
3233.5,0.022128556375132,0.022128953235848,3044.64819335938,3039.1276855469
3234.5,0.022128556375132,0.022128823385287,3030.87573242188,3037.4772949219
3235.5,0.022128556375132,0.022128731422476,3030.87573242188,3035.7954101563
3236.5,0.022128556375132,0.022128666940595,3030.87573242188,3034.0812988281
3237.5,0.022128556375132,0.02212862217749,3030.87573242188,3032.3322753906
3238.5,0.022128556375132,0.022128591412287,3030.87573242188,3030.5458984375
3239.5,0.022128556375132,0.022128570478086,3030.87573242188,3028.7194824219
3240.5,0.022128556375132,0.022128556375132,3030.87573242188,3026.8500976563
3241.5,0.022128556375132,0.022128556375132,3025.142578125,3024.935546875
3242.5,0.022128556375132,0.022128556375132,3025.142578125,3022.9738769531
3243.5,0.022128556375132,0.022128556375132,3025.142578125,3020.96484375
3244.5,0.022128556375132,0.022128556375132,3025.142578125,3018.9084472656
3245.5,0.022128556375132,0.022128556375132,3025.142578125,3016.8063964844
3246.5,0.022128556375132,0.022128556375132,3025.142578125,3014.6623535156
3247.5,0.022128556375132,0.022128556375132,3025.142578125,3012.4812011719
3248.5,0.022128556375132,0.022128556375132,3025.142578125,3010.26953125
3249.5,0.022128556375132,0.022128556375132,3025.142578125,3008.0349121094
3250.5,0.022128556375132,0.022128556375132,3009.166015625,3005.7866210938
3251.5,0.022128556375132,0.022128556375132,3001.2578125,3003.5354003906
3252.5,0.022128556375132,0.022128556375132,2991.55444335937,3001.2917480469
3253.5,0.022128556375132,0.022128556375132,2991.55444335937,2999.0676269531
3254.5,0.022128556375132,0.022128556375132,2991.61547851562,2996.8742675781
3255.5,0.022128556375132,0.022128556375132,2980.9931640625,2994.7233886719
3256.5,0.022128556375132,0.022128556375132,2980.9931640625,2992.6254882813
3257.5,0.022128556375132,0.022128556375132,2980.9931640625,2990.5905761719
3258.5,0.022128556375132,0.022128556375132,2980.9931640625,2988.6271972656
3259.5,0.022128556375132,0.022128556375132,2980.9931640625,2986.7429199219
3260.5,0.022128556375132,0.022128542272178,2975.68920898438,2984.9438476563
3261.5,0.022128556375132,0.022128521337976,2975.68920898438,2983.234375
3262.5,0.022128556375132,0.022128490572774,2975.68920898438,2981.6171875
3263.5,0.022128556375132,0.022128445809668,2975.68920898438,2980.0942382813
3264.5,0.022128556375132,0.022128381327788,2975.68920898438,2978.6652832031
3265.5,0.022128556375132,0.022128289364977,2975.68920898438,2977.3298339844
3266.5,0.022128556375132,0.022128159514416,2970.7314453125,2976.0859375
3267.5,0.022128556375132,0.022127977991071,2970.7314453125,2974.9301757813
3268.5,0.022128556375132,0.0221277267572,2970.7314453125,2973.8596191406
3269.5,0.022128556375132,0.022127382501649,2970.7314453125,2972.8701171875
3270.5,0.022128556375132,0.022126915475961,2967.62060546875,2971.95703125
3271.5,0.022128556375132,0.022126288201449,2967.62060546875,2971.1162109375
3272.5,0.022128556375132,0.022125454075621,2967.62060546875,2970.3425292969
3273.5,0.022128556375132,0.022124355923383,2967.62060546875,2969.6313476563
3274.5,0.022128556375132,0.022122924557739,2967.62060546875,2968.9777832031
3275.5,0.022128556375132,0.02212107743531,2968.09228515625,2968.3771972656
3276.5,0.022128556375132,0.022118717512327,2964.03564453125,2967.8244628906
3277.5,0.022128556375132,0.022115732425052,2964.03564453125,2967.3142089844
3278.5,0.022128556375132,0.022111994132449,2964.03564453125,2966.8415527344
3279.5,0.022128556375132,0.022107359165889,2964.03564453125,2966.4011230469
3280.5,0.022128556375132,0.022101669628262,2964.03564453125,2965.9873046875
3281.5,0.022128556375132,0.022094755070676,2964.03564453125,2965.5944824219
3282.5,0.022128556375132,0.022086435347484,2964.03564453125,2965.216796875
3283.5,0.022128556375132,0.022076524508707,2964.03564453125,2964.84765625
3284.5,0.022128556375132,0.022064835733653,2964.03564453125,2964.4807128906
3285.5,0.022128556375132,0.022051187242406,2964.03564453125,2964.109375
3286.5,0.022128556375132,0.02203540904645,2964.03564453125,2963.7270507813
3287.5,0.022128556375132,0.022017350320787,2964.03564453125,2963.3273925781
3288.5,0.022128556375132,0.021996887103738,2964.03564453125,2962.9038085938
3289.5,0.022128556375132,0.021973929964084,2964.03564453125,2962.4506835938
3290.5,0.022128556375132,0.021948431225486,2964.03564453125,2961.9624023438
3291.5,0.022128556375132,0.021920391311792,2964.03564453125,2961.4345703125
3292.5,0.022128556375132,0.021889863779206,2964.03564453125,2960.86328125
3293.5,0.022128556375132,0.021856958635665,2964.03564453125,2960.24609375
3294.5,0.022128556375132,0.021821843614786,2964.03564453125,2959.5812988281
3295.5,0.022128556375132,0.021784743169043,2964.93725585937,2958.869140625
3296.5,0.022128556375132,0.021745935069181,2964.93725585937,2958.1105957031
3297.5,0.022128556375132,0.021705744636102,2964.93725585937,2957.3088378906
3298.5,0.022128556375132,0.021664536777366,2964.93725585937,2956.4672851563
3299.5,0.022128556375132,0.021622706141599,2964.93725585937,2955.591796875
3300.5,0.021074815595364,0.021580665828897,2964.392578125,2954.6884765625
3301.5,0.021074815595364,0.021538835193129,2958.4658203125,2953.7646484375
3302.5,0.021074815595364,0.021497627334393,2958.4658203125,2952.8286132813
3303.5,0.021074815595364,0.021457436901315,2942.8876953125,2951.8881835938
3304.5,0.021074815595364,0.021418628801452,2942.8876953125,2950.9526367188
3305.5,0.021074815595364,0.021381528355709,2941.09106445313,2950.0295410156
3306.5,0.021074815595364,0.021346413334831,2941.09106445313,2949.1274414063
3307.5,0.021074815595364,0.02131350819129,2941.09106445313,2948.2534179688
3308.5,0.021074815595364,0.021282980658703,2941.09106445313,2947.4138183594
3309.5,0.021074815595364,0.02125494074501,2941.09106445313,2946.6137695313
3310.5,0.021074815595364,0.021229442006412,2941.09106445313,2945.8571777344
3311.5,0.021074815595364,0.021206484866757,2941.09106445313,2945.1469726563
3312.5,0.021074815595364,0.021186021649709,2941.09106445313,2944.4846191406
3313.5,0.021074815595364,0.021167962924046,2941.09106445313,2943.8698730469
3314.5,0.021074815595364,0.02115218472809,2941.09106445313,2943.3017578125
3315.5,0.021074815595364,0.021138536236842,2941.09106445313,2942.7780761719
3316.5,0.021074815595364,0.021126847461789,2941.09106445313,2942.2954101563
3317.5,0.021074815595364,0.021116936623012,2941.09106445313,2941.8493652344
3318.5,0.021074815595364,0.021108616899819,2939.2939453125,2941.435546875
3319.5,0.021074815595364,0.021101702342233,2939.2939453125,2941.0485839844
3320.5,0.021074815595364,0.021096012804606,2940.19165039062,2940.6821289063
3321.5,0.021074815595364,0.021091377838047,2940.19165039062,2940.3308105469
3322.5,0.021074815595364,0.021087639545443,2940.19165039062,2939.9885253906
3323.5,0.021074815595364,0.021084654458168,2940.19165039062,2939.6494140625
3324.5,0.021074815595364,0.021082294535185,2940.19165039062,2939.3081054688
3325.5,0.021074815595364,0.021080447412757,2940.19165039062,2938.9592285156
3326.5,0.021074815595364,0.021079016047113,2940.19165039062,2938.5983886719
3327.5,0.021074815595364,0.021077917894874,2940.19165039062,2938.2211914063
3328.5,0.021074815595364,0.021077083769047,2940.19165039062,2937.8247070313
3329.5,0.021074815595364,0.021076456494535,2940.19165039062,2937.4057617188
3330.5,0.021074815595364,0.021075989468847,2938.3935546875,2936.962890625
3331.5,0.021074815595364,0.021075645213295,2938.3935546875,2936.4948730469
3332.5,0.021074815595364,0.021075393979424,2938.3935546875,2936.0009765625
3333.5,0.021074815595364,0.02107521245608,2938.3935546875,2935.4821777344
3334.5,0.021074815595364,0.021075082605518,2938.3935546875,2934.939453125
3335.5,0.021074815595364,0.021074990642708,2938.3935546875,2934.3745117188
3336.5,0.021074815595364,0.021074926160827,2938.3935546875,2933.7897949219
3337.5,0.021074815595364,0.021074881397722,2938.3935546875,2933.1882324219
3338.5,0.021074815595364,0.021074850632519,2932.00341796875,2932.5729980469
3339.5,0.021074815595364,0.021074829698317,2932.00341796875,2931.9475097656
3340.5,0.021074815595364,0.021074815595364,2929.34228515625,2931.3154296875
3341.5,0.021074815595364,0.021074815595364,2929.34228515625,2930.6801757813
3342.5,0.021074815595364,0.021074815595364,2929.34228515625,2930.044921875
3343.5,0.021074815595364,0.021074815595364,2924.6298828125,2929.4123535156
3344.5,0.021074815595364,0.021074815595364,2924.6298828125,2928.7854003906
3345.5,0.021074815595364,0.021074815595364,2924.6298828125,2928.1652832031
3346.5,0.021074815595364,0.021074815595364,2924.6298828125,2927.5537109375
3347.5,0.021074815595364,0.021074815595364,2924.6298828125,2926.951171875
3348.5,0.021074815595364,0.021074815595364,2924.6298828125,2926.3576660156
3349.5,0.021074815595364,0.021074815595364,2924.6298828125,2925.7724609375
3350.5,0.021074815595364,0.021074815595364,2924.662109375,2925.1943359375
3351.5,0.021074815595364,0.021074815595364,2924.77905273437,2924.6213378906
3352.5,0.021074815595364,0.021074815595364,2924.77905273437,2924.0512695313
3353.5,0.021074815595364,0.021074815595364,2924.77905273437,2923.4809570313
3354.5,0.021074815595364,0.021074815595364,2924.77905273437,2922.9072265625
3355.5,0.021074815595364,0.021074815595364,2922.96801757813,2922.3269042969
3356.5,0.021074815595364,0.021074815595364,2922.96801757813,2921.7358398438
3357.5,0.021074815595364,0.021074815595364,2922.96801757813,2921.1301269531
3358.5,0.021074815595364,0.021074815595364,2922.96801757813,2920.5061035156
3359.5,0.021074815595364,0.021074815595364,2922.96801757813,2919.8598632813
3360.5,0.021074815595364,0.021074815595364,2918.86865234375,2919.1872558594
