Structure Name	Location	Age	Age_Min	Age_Max	Diameter	Erosion_Min	Erosion_Max
Logoisk	Belarus	42.3 ± 1.1	41.2	43.4	15		
Crawford	South Australia	> 35	34	56	8.5		
Flaxman	South Australia	> 35	34	56	10		
Goat Paddock	Western Australia	< 50	40	50	5.1		
Shunak	Kazakhstan	45 ± 10	35	55	2.8		
Chiyli	Kazakhstan	46 ± 7	39	53	5.5		
Ragozinka	Russia	46 ± 3	43	49	9		
Jebel Waqf as Suwwan	Jordan	56 - 37	37	56	5.5		
Avak	Alaska, U.S.A.	3-95	3	95	12		
Gusev	Russia	49.0 ± 0.2	48.8	49.2	3		
Kamensk	Russia	49.0 ± 0.2	48.8	49.2	25		
Sierra Madera	Texas, U.S.A.	< 100	0	100	13		
Montagnais	Nova Scotia, Canada	50.50 ± 0.76	49.74	51.26	45		
Tin Bider	Algeria	< 70	35	70	6		
Mount Toondina	South Australia	< 110	0	110	4		
Connolly Basin	Western Australia	< 60	56	60	9		
Marquez	Texas, U.S.A.	58 ± 2	56	60	12.7		
B.P. Structure	Arizona, U.S.A.	< 120	0	120	2		
Oasis	Libya	< 120	0	120	18		
Chicxulub	Yucatan, Mexico	64.98 ± 0.05	64.93	65.03	150		
Maple Creek	Saskatchewan, Canada	< 75	55	75	6		
