Reference,Sample ,U-Pb (Ma) , δ18O ,±2s
34,1S113 ,88,6.4,
34,1S117 ,88,6.3,
34,M95-28 ,88,6.3,
34,M95-40 ,88,6.4,
34,M95-79 ,88,6.3,
34,M95-81 ,88,6.3,
32,99LV655 ,89,6.4,
34,1S121 ,89,6.2,
34,1S123 ,89,6.3,
34,KC14 ,89,5.3,
34,KC14-2 ,89,5.5,
22,98IB-40 ,90,7.4,
22,98IB-34 ,90,7.6,
22,98IB-39 ,90,7.6,
26,95BS-A ,90,6.3,
26,95BS-B ,90,6.7,
26,95BS-C ,90,6.1,
26,95BS-D ,90,6.2,
26,95BS-E ,90,6,
31,91TH181 ,90,7.9,
31,IS703 ,90,7.7,
31,TC27 ,90,9.4,
33,1S51 ,90,7.8,
33,1S52 ,90,7.5,
33,1S53 ,90,7.5,
33,1S54 ,90,7.8,
33,1S58 ,90,7.8,
33,1S67 ,90,7.5,
33,1S77 ,90,7.6,
33,1S79 ,90,7.7,
33,1S80 ,90,7.7,
33,1S81 ,90,7.8,
33,1S82 ,90,7.7,
33,3S51 ,90,8,
34,1S131 ,90,5.8,
34,1S84 ,90,7.4,
34,1S86 ,90,6.1,
34,1S87 ,90,5.5,
34,3S48 ,90,7.5,
34,95-18 ,90,7.2,
34,95-9 ,90,8.3,
34,95BR054 ,90,7.5,
34,95BR055 ,90,7,
34,95BR056 ,90,6.6,
34,95BR066 ,90,6.4,
34,95BR067 ,90,6.6,
34,95BR068 ,90,6.8,
34,96-10 ,90,6.6,
34,96-11 ,90,6.8,
34,96-12 ,90,7.2,
34,96-13 ,90,6.6,
34,96-14 ,90,6.5,
34,96-15 ,90,6.5,
34,96-16 ,90,6.7,
34,96-17 ,90,6.7,
34,96-18 ,90,7.1,
34,97WM064 ,90,6.8,
34,97WM065 ,90,6.9,
34,97WM066 ,90,7,
34,F3 ,90,6.3,
34,F4 ,90,6.7,
34,F6 ,90,7.4,
34,F7f ,90,7.1,
34,K2 ,90,6.6,
34,1S109 ,91,6.5,
34,1S110 ,91,6.3,
34,1S116 ,91,6.4,
34,1S135 ,91,6.2,
34,1S139 ,91,6.4,
34,SQ67 ,91,5.8,
26,97TY-023 ,92,7.4,
26,97TY-024 ,92,7.4,
34,1S130 ,92,5.8,
34,1S88 ,92,5.8,
34,K1 ,92,6.5,
34,1S104 ,93,6.3,
34,1S105 ,93,6.1,
34,1S111 ,93,6.2,
34,1S118 ,93,6.3,
34,Y2 ,93,6.6,
34,Y3 ,93,6.4,
34,Y4 ,93,6.5,
31,94TH473A ,93,8.6,
34,1S129 ,93,5.7,
34,1S41 ,93,7.4,
34,95BR035 ,93,6,
34,95BR073 ,93,5.6,
34,95BR075 ,93,6,
34,95BR077 ,93,6.1,
34,1S106 ,93,6.4,
34,1S107 ,93,6.3,
34,1S108 ,93,6.4,
34,1S119 ,93,6.2,
34,95-5 ,93,6.2,
5,TT6 ,94,3.3,
22,98IB-11 ,94,7.5,
31,88SS1 ,95,8.2,
31,94TH486 ,95,8.6,
34,6-124 ,95,4.7,
10,2641-54 ,96,6.2,0.3
26,97TY-025 ,96,7.9,
26,97TY-026 ,96,7.9,
26,97TY-027 ,96,7.7,
26,97TY-028 ,96,7.8,
26,97TY-029 ,96,7.7,
31,93TH385 ,96,9.5,
33,1S66 ,96,7.6,
34,95BR032 ,96,6.1,
34,95BR037 ,96,6.8,
34,95BR038 ,96,6.7,
34,95BR040 ,96,6.7,
34,95BR069 ,96,6,
34,95BR071 ,96,6.6,
59, M0-1033  ,96,6.1,0.3
5,RNZ49 ,97,6,
31,93TH254 ,97,8,
31,TC15 ,97,7.4,
31,TC40 ,97,8.4,
34,3S28 ,97,6.3,
34,K4 ,97,6.5,
34,KC15 ,97,6,
34,KC2 ,97,6.1,
34,SQ13 ,97,6.8,
34,SQ22 ,97,6.8,
34,SQ5 ,97,7.4,
31,82SS17 ,98,8.9,
31,IS711 ,98,7.8,
31,TC42 ,98,7.4,
33,1S18 ,98,7.9,
33,1S19 ,98,8.3,
33,1S20 ,98,8,
33,1S21 ,98,8.3,
33,1S23 ,98,7.9,
33,1S24 ,98,8,
33,1S27 ,98,9,
33,1S28 ,98,8.4,
33,1S29 ,98,8.5,
33,1S30 ,98,8,
34,3S34 ,98,7.5,
34,95-15 ,98,7.4,
34,SQ12 ,98,6.7,
34,SQ46 ,98,6.6,
34,SQ48 ,98,6.7,
34,W34 ,98,7.1,
63,98KQ03 ,98,4.4,
63,98KQ05 ,98,4,
63,98KQ21 ,98,4.7,
63,98KQ27 ,98,4.5,
31,ISP 182 ,99,6.7,
33,1S5 ,99,7.2,
34,1S133 ,99,5.9,
34,1S134 ,99,5.8,
34,3S27 ,99,8.3,
34,KC18 ,99,7.4,
34,KC5 ,99,7.4,
34,SQ15 ,99,7.5,
22,98IB-22 ,100,5.7,
22,98IB-31 ,100,5.8,
22,98IB-33 ,100,6.3,
"King et al., 2005 ",01IB-1 ,100,7.7,
"King et al., 2005 ",01IB-15 ,100,6.4,
"King et al., 2005 ",01IB-16 ,100,6.7,
"King et al., 2005 ",01IB-18 ,100,5.8,
"King et al., 2005 ",01IB-22 ,100,5.7,
"King et al., 2005 ",01IB-3 ,100,7.6,
"King et al., 2005 ",01IB-5 ,100,6.6,
"King et al., 2005 ",01IB-6 ,100,7.8,
"King et al., 2005 ",01IB-8 ,100,8.3,
31,82SS18 ,100,9.2,
31,CM22b ,100,7.7,
31,CM26 ,100,7.8,
31,CM9 ,100,7.8,
34,3S29 ,100,7.1,
34,SQ57 ,100,7,
34,SQ61 ,100,6.8,
34,SQ75 ,100,7.1,
34,SQ9 ,100,7.2,
34,W21 ,100,7,
34,W4 (mag) ,100,7.8,
5,TT6 ,101,1.7,
10,2606-29 ,101,6.2,0.4
10,2606-53 ,101,5.3,0.4
31,94TH453 ,101,8,
31,CM25 ,101,7.3,
31,GV3 ,101,7.5,
31,IS1400 ,101,7.9,
34,W18 ,101,6.8,
10,2606-10 ,102,5.6,0.4
31,82CNK107A ,102,5.6,
31,82JB2 ,102,7.4,
31,L5P334A ,102,5.1,
31,TL197 ,102,7.2,
31,WR 21 Z ,102,6.2,
31,WR84a ,102,7.1,
31,WR86 ,102,7,
