Database|Continent|Sample_ID|Pb207_Pb206|Pb207_Pb206_2sigma|Pb207_U235|Pb207_U235_2sigma|Pb206_U238|Pb206_U238_2sigma|Pb208_Th232|Pb208_Th232_2sigma|Age_Pb206_Pb207|Age_Pb206_Pb207_2sigma|Age_Pb207_U235|Age_Pb207_U235_2sigma|Age_Pb206_U238|Age_Pb206_U238_2sigma|Age_Pb208_Th232|Age_Pb208_Th232_2sigma|Discordance|Age|Age_2sigma|Th_U|Hf176_Hf177|Hf176_Hf177_2sigma|Lu176_Hf177|Yb176_Hf177|Hf176_Hf177_initial|eHf_initial|eHf_initial_2sigma|Tdm|Tdm_Crustal
TerraneChron|Australia|13067|0.07927959|0.00090527|2.20634151|0.02346991|0.20196608|0.00191266|0.04165447|0.00036284|1179.1241510493|22.41|1183.0538362799|7.3465642194|1185.8734316254|10.2482278094|824.8668145873|7.0392582051|-0.5723977895|1179.1241510493|44.82|1.1201744168|0.282034|0.000013|0.00112646|0.0432579|0.2820089269|-0.8543659142|0.4609373338|1.6937088042|1.9993981276
TerraneChron|Australia|13068|0.05778904|0.00069387|0.67391729|0.00774252|0.08463351|0.00083147|0.02367785|0.00020174|521.772987372|26.33|523.0913969076|4.6784542111|523.7205552327|4.9397080631|473.0040932007|3.9828972595|-0.1202769399|523.7205552327|9.8794161262|0.9412590433|0.282513|0.0000097|0.000431975|0.0180299|0.2825087555|2.2295531772|0.3433470318|1.0032530147|1.2957861352
TerraneChron|Australia|13069|0.05501743|0.0006667|0.51466346|0.00588721|0.06789155|0.00065686|0.01946984|0.0001849|412.9314990199|26.61|421.5802159426|3.9350297787|423.4403896093|3.9638870886|389.7468916786|3.6655283157|-0.4412383685|423.4403896093|7.9277741772|0.8850248231|0.282567|0.0000086|0.000620383|0.0213146|0.282562076|1.8966952051|0.304352596|0.9329402918|1.2394464705
TerraneChron|Australia|13070|0.05901502|0.00113005|0.74778312|0.01397866|0.09196012|0.00103351|0.02355698|0.0003109|567.650186712|41.15|566.9372963488|8.0647334367|567.1191394638|6.0982016869|470.617408475|6.1384029314|-0.0320746432|567.1191394638|12.1964033738|1.2767967424|0.282018|0.0000071|NaN|0.00283729|0.2820173095|-14.2093150178|0.2517569801|1.6691639696|2.377662224
TerraneChron|Australia|13071|0.07648625|0.00087267|1.9769671|0.02201381|0.18759277|0.00188641|0.0487229|0.00042196|1107.8262718216|22.63|1107.6864807621|7.4270120294|1108.3215212284|10.2300426278|961.5591344994|8.1307969959|-0.0447046093|1107.8262718216|45.26|1.1234834204|0.282297|0.000011|0.000473973|0.0166964|0.2822870947|7.406624011|0.3896605348|1.303267418|1.4174458906
TerraneChron|Australia|13072|0.05863059|0.00080088|0.74681419|0.00965849|0.09243838|0.00091287|0.02430236|0.00027527|553.4061081326|29.53|566.3742356927|5.5873195647|569.9419413435|5.3843345814|485.3311060171|5.4310667363|-0.6299201881|569.9419413435|10.7686691628|0.811476259|0.282355|0.000012|NaN|0.00216548|0.2823545193|-2.2066448812|0.4249969011|1.2096223827|1.6144346744
TerraneChron|Australia|13073|0.0557356|0.00066392|0.53866279|0.00622495|0.07014454|0.00069925|0.01818335|0.00014698|441.8512721799|25.84|437.5424897569|4.0951903131|437.0264203895|4.2107207894|364.2245571669|2.9175246558|0.1179472576|437.0264203895|8.4214415788|0.8538636996|0.282271|0.0000089|0.00109546|0.0437008|0.2822620253|-8.4240136684|0.315299836|1.3611912775|1.9081073754
TerraneChron|Australia|13074|0.05009535|0.00074442|0.20916688|0.00294128|0.03030361|0.00029984|0.00847193|0.00009505|199.4197066695|34.15|192.8533213567|2.4662785635|192.4481920811|1.8757607837|170.5153028562|1.904942472|0.2100711944|192.4481920811|3.7515215674|0.9587466823|0.282664|0.0000095|0.00108879|0.0388613|0.2826600809|0.2682922642|0.3360880763|0.8074059376|1.1646189017
TerraneChron|Australia|13075|0.05589411|0.0006632|0.49642846|0.00568352|0.0644615|0.00063816|0.0165971|0.00013233|448.1646840431|25.75|409.2818625069|3.8455644656|402.7012891713|3.8634855158|332.7109324006|2.6308428669|1.6078340964|402.7012891713|7.7269710316|1.2249326296|0.282554|0.0000094|0.00102724|0.0364718|0.2825462477|0.8778214275|0.3326797709|0.9613458801|1.2883785548
TerraneChron|Australia|13076|0.09655584|0.00107302|3.63272309|0.03922693|0.27306306|0.00271162|0.06969655|0.00059403|1558.6109736149|20.71|1556.7292842566|8.433268021|1556.3310548027|13.7122575187|1361.7990929039|11.2210376727|0.1462788888|1558.6109736149|41.42|0.2698646847|0.281771|0.000014|0.000852989|0.0330743|0.281745814|-1.6287450723|0.4968573771|2.0443460646|2.3423108481
