BinCenterAge,eHf,ehf_sigma,d18O,d18O_sigma
3532.5,-2.699,0.649234,6.04122,0.139994
3547.5,-2.84576,0.650935,6.05196,0.14767
3562.5,-2.87404,0.677514,6.05791,0.176198
3577.5,-2.89161,0.689591,6.02384,0.192896
3592.5,-2.61753,0.694956,5.96054,0.212055
3607.5,-2.38838,0.721872,5.85447,0.24228
3622.5,-2.09312,0.741038,5.74853,0.254058
3637.5,-1.83931,0.720074,5.70822,0.251544
3652.5,-1.52845,0.716356,5.68773,0.244913
3667.5,-1.08402,0.704619,5.72006,0.232284
3682.5,-0.84675,0.70339,5.702,0.241467
3697.5,-0.48266,0.729936,5.69077,0.23317
3712.5,-0.378546,0.77923,5.70044,0.224107
3727.5,-0.221897,0.852002,5.70994,0.225113
3742.5,-0.0967675,0.941235,5.77805,0.212534
3757.5,-0.181135,0.945979,5.78808,0.206499
3772.5,-0.0568238,0.996422,5.82968,0.205068
3787.5,0.0126784,0.932875,5.87311,0.207757
3802.5,0.033874,0.904274,5.86792,0.2077
3817.5,0.0258224,0.879385,5.88179,0.214891
3832.5,-0.165554,0.862535,5.84972,0.215357
3847.5,-0.35587,0.89544,5.81888,0.213511
3862.5,-0.709834,0.951543,5.75573,0.222926
3877.5,-1.15854,1.00523,5.69915,0.225987
3892.5,-1.87281,1.0124,5.68674,0.23118
3907.5,-2.43791,1.01371,5.67252,0.231
3922.5,-3.04768,0.986962,5.73171,0.222617
3937.5,-3.36386,0.945387,5.7542,0.222475
3952.5,-3.75739,0.855997,5.79547,0.210658
3967.5,-4.03298,0.790919,5.85582,0.200243
3982.5,-4.11672,0.71795,5.87622,0.187421
3997.5,-4.17998,0.614536,5.89836,0.181863
4012.5,-4.18469,0.52923,5.92001,0.172778
4027.5,-4.04769,0.456764,5.92216,0.178605
4042.5,-3.87652,0.423485,5.89225,0.182051
4057.5,-3.52703,0.421271,5.87621,0.189933
4072.5,-3.28763,0.425014,5.86452,0.192856
4087.5,-2.96396,0.438405,5.88912,0.18842
4102.5,-2.76207,0.443247,5.90026,0.195116
4117.5,-2.44468,0.47127,5.92983,0.182388
4132.5,-2.27355,0.493518,5.9317,0.185236
4147.5,-2.13584,0.512674,5.93935,0.184632
4162.5,-1.90159,0.572644,5.93127,0.187342
4177.5,-1.70423,0.634331,5.90701,0.191089
4192.5,-1.55768,0.691053,5.87621,0.191599
4207.5,-1.42645,0.780106,5.82046,0.203475
4222.5,-1.15779,0.862128,5.76451,0.214732
4237.5,-0.822642,0.926039,5.75219,0.223191
4252.5,-0.720921,0.986521,5.74517,0.230733
4267.5,-0.41634,1.08545,5.72206,0.241938
4282.5,-0.287395,1.12685,5.71892,0.264003
4297.5,-0.104073,1.24944,5.67034,0.281363
4312.5,0.0520563,1.35892,5.61681,0.276903
4327.5,0.612388,1.69534,5.58142,0.300333
4342.5,1.01207,1.98049,5.50568,0.313962
